addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Gnome-Human Extras,https://addons.mozilla.org/en-US/firefox/addon/gnome-human-extras/?src=search,159,37,257.2 KiB,2.01,2016-05-10T16:37:45Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
Zutilo Utility for Zotero,https://addons.mozilla.org/en-US/firefox/addon/zutilo-utility-for-zotero/?src=search,160,5429,120.0 KiB,2.0.2,2016-05-22T16:22:34Z,9,4.8889,will,,False,Firefox,pdf
Fuse5 Addon Setup V2.0,https://addons.mozilla.org/en-US/firefox/addon/fuse5-addon-setup-v20/?src=search,161,1485,21.0 KiB,2.0,2015-10-29T03:01:33Z,0,0.0,Fuse5,http://www.fuse5autopartsoftware.com/,False,Firefox,pdf
FA2ePub,https://addons.mozilla.org/en-US/firefox/addon/fa2epub/?src=search,162,36,174.0 KiB,1.0,2016-11-02T01:07:40Z,0,0.0,Amarok,,False,Firefox,pdf
Bypass Forced Download,https://addons.mozilla.org/en-US/firefox/addon/bypass-forced-download/?src=search,163,234,5.8 KiB,0.1.0,2016-05-08T16:05:18Z,2,5.0,Lukas Mai,,False,Firefox,pdf
Humanity Extras,https://addons.mozilla.org/en-US/firefox/addon/humanity-extras/?src=search,164,27,237.5 KiB,2.10,2016-12-22T08:10:38Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
OpenOffice Excel online for xls spreadsheets,https://addons.mozilla.org/en-US/firefox/addon/openoffice-excel-online-xls/?src=search,165,191,207.4 KiB,1.6.4,2017-02-25T07:51:00Z,0,0.0,officeonlinesystems,http://www.offidocs.com,False,Firefox,pdf
Eklegu!,https://addons.mozilla.org/en-US/firefox/addon/eklegu/?src=search,166,27,681.0 KiB,1.4,2017-01-04T01:16:40Z,1,5.0,Gregory Smith,,False,Firefox,pdf
Gnome-Brave Extras,https://addons.mozilla.org/en-US/firefox/addon/gnome-brave-extras/?src=search,167,34,257.4 KiB,2.01,2016-05-10T16:37:11Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
Clipmarks,https://addons.mozilla.org/en-US/firefox/addon/clipmarks/?src=search,168,2097,109.0 KiB,4.0.1,2010-01-21T09:30:04Z,92,3.25,Clipmarks,http://clipmarks.com/,False,Firefox,pdf
Gnome-Noble Extras,https://addons.mozilla.org/en-US/firefox/addon/gnome-noble-extras/?src=search,169,23,257.4 KiB,2.01,2016-05-10T16:38:07Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
previewr,https://addons.mozilla.org/en-US/firefox/addon/previewr/?src=search,170,1,16.0 KiB,0.2.4,2008-06-10T02:33:46Z,7,4.2857,Maascamp,http://threeformed.com,False,Firefox,pdf
PowerPoint PPT editor,https://addons.mozilla.org/en-US/firefox/addon/powerpoint-editor/?src=search,171,184,41.3 KiB,1.2.7,2017-02-05T19:44:29Z,1,5.0,officeonlinesystems,http://www.offidocs.com,False,Firefox,pdf
